Nombre,Sexo,Rango Militar,Especialidad Militar,Años de Servicio,Misiones Cumplidas,Vuelos Totales,Fecha de Ingreso,Fecha de Nacimiento,Numero de Faltas
Ricardo Vélez Trujillo,Masculino,Teniente General,Piloto de Combate,28,115,2345,1997-08-15,1974-03-22,2
Sofía Mendoza Vargas,Femenino,Mayor General,Ingeniera Aeronáutica,25,35,876,2000-05-10,1977-11-01,0
Carlos Pérez Jiménez,Masculino,Brigadier General,Navegante,22,98,1890,2003-01-20,1980-07-18,1
Andrés Rojas Castro,Masculino,Coronel,Piloto de Transporte,18,76,1560,2007-09-05,1984-12-05,3
Laura Gómez Díaz,Femenino,Teniente Coronel,Controlador Aéreo,15,52,1020,2010-04-25,1987-06-30,0
Javier Sánchez López,Masculino,Mayor,Oficial de Inteligencia Aérea,12,40,650,2013-11-01,1990-02-14,1
Daniel Martínez Ruiz,Masculino,Capitán,Piloto de Helicóptero,9,68,1280,2016-07-12,1993-09-28,2
Carolina Vargas Pérez,Femenino,Teniente,Ingeniera de Mantenimiento,6,25,340,2019-03-01,1996-05-07,0
Juan Esteban Castro Gómez,Masculino,Subteniente,Oficial de Seguridad Aérea,3,12,180,2022-10-18,1999-12-20,1
Elena Ramírez Suárez,Femenino,Teniente General,Médico de Vuelo,26,80,560,1999-06-01,1976-08-08,0
Camilo Torres Díaz,Masculino,Mayor General,Piloto de Combate,23,102,2100,2002-02-15,1979-04-12,2
Isabel López Rodríguez,Femenino,Brigadier General,Oficial de Logística Aérea,20,60,450,2005-10-20,1982-11-25,1
Felipe González Martínez,Masculino,Coronel,Navegante,17,89,1700,2008-08-01,1985-09-03,0
Ana María Ruiz Vargas,Femenino,Teniente Coronel,Controlador Aéreo,14,48,950,2011-05-15,1988-01-30,2
Sebastián Pérez Castro,Masculino,Mayor,Piloto de Transporte,11,72,1400,2014-12-01,1991-07-05,1
Valentina Gómez López,Femenino,Capitán,Oficial de Inteligencia Aérea,8,30,580,2017-09-20,1994-03-10,0
Alejandro Castro Díaz,Masculino,Teniente,Piloto de Helicóptero,5,55,1100,2020-04-01,1997-10-15,3
Mariana Ruiz Trujillo,Femenino,Subteniente,Ingeniera Aeronáutica,2,18,250,2023-11-05,2000-06-22,1
Gustavo Vargas Mendoza,Masculino,Coronel,Oficial de Seguridad Aérea,29,90,600,1996-04-10,1973-09-18,0
Patricia Castro Pérez,Femenino,Teniente Coronel,Médico de Vuelo,24,75,520,2001-01-25,1978-05-01,2
Jorge López Gómez,Masculino,Mayor,Piloto de Combate,21,110,2250,2004-07-01,1981-12-10,1
Sandra Díaz Ruiz,Femenino,Capitán,Ingeniera de Mantenimiento,19,42,780,2006-12-15,1983-08-28,0
Manuel Pérez Vargas,Masculino,Teniente,Navegante,16,85,1650,2009-06-01,1986-04-05,2
Catalina Gómez Castro,Femenino,Subteniente,Controlador Aéreo,13,58,1080,2012-02-20,1989-11-12,1
Diego Rodríguez Sánchez,Masculino,Brigadier General,Piloto de Combate,27,0,0,1998-10-01,1975-05-15,5
Luisa Fernanda Pérez,Femenino,Coronel,Oficial de Logística Aérea,10,30,400,2015-03-01,1992-01-20,0
Camilo Andrés Díaz,Masculino,Mayor,Oficial de Seguridad Aérea,7,15,200,2018-05-10,1995-07-01,1
Andrea Sofía Vargas,Femenino,Capitán,Médico de Vuelo,4,22,310,2021-01-15,1998-11-08,2
Fabián Esteban Ruiz,Masculino,Teniente,Ingeniera Aeronáutica,1,0,0,2024-06-20,2001-04-03,0
Daniela Castro López,Femenino,Subteniente,Controlador Aéreo,11,45,700,2014-08-01,1993-03-25,1
